color,odometer_value,year
silver,190000,2010
blue,290000,2002
red,402000,2001
blue,10000,1999
black,NULL,2001
silver,132449,2011
black,318280,NULL
silver,350000,2004
grey,179000,2010
silver,NULL,1999
other,280000,2003
grey,256000,2008
other,NULL,2002
red,49999,2001
brown,154685,NULL
black,163219,2004
other,318650,2005
blue,191000,2005
silver,179000,2014
black,159000,2013
white,257495,2008
silver,241402,2005
black,188000,2006
blue,240000,2001
green,249448,2002
other,250000,2007
green,417000,1997
violet,377000,1999
black,300000,1999
